strain	isotype	warning_msg
CB4555	NA	N2xCB4851 recombinant
DH424	NA	N2xCB4851 recombinant
DR1349	NA	N2xCB4851 recombinant
TR403	NA	N2xCB4851 recombinant
CB3191	N2	N2
CB3192	N2	N2
CB3193	N2	N2
CB3194	N2	N2
CB3195	N2	N2
CB4507	N2	N2
PX176	N2	N2
TR388	N2	N2
TR389	N2	N2
AB1	AB1	
AB2	AB4	
AB3	AB4	
AB4	AB4	
AF16_CGC	AF16	
BRC20067	BRC20067	
CB4851	CB4851	
CB4851_CGC	CB4851	
ECA243	CB4851	
CB4852	CB4852	
CB4853	CB4853	
CB4853_CGC	CB4853	
CB4853_UK	CB4853	
DR1350	CB4853	
ECA245	CB4853	
ECA246	CB4853	
CB4854	CB4854	
CB4855	CB4855	
ECA248	CB4855	
CB4855	CB4855	
CB4855_UK	CB4855	
CB4856	CB4856	
CB4856_CGC_3	CB4856	
CB4856_CGC3	CB4856	
CB4857	CB4857	
CB4857_CGC	CB4857	
CB4857_UK	CB4857	
ECA249	CB4857	
ECA250	CB4857	
ECA252	CB4858	
CB4858_UK	CB4858	
CB4932	CB4932	
CX11254	CX11254	
CX11262	CX11262	
CX11264	CX11264	
CX11271	CX11271	
CX11276	CX11276	
CX11285	CX11285	
CX11292	CX11292	
CX11307	CX11307	
CX11314	CX11314	
CX11315	CX11315	
DL200	DL200	
DL226	DL226	
DL238	DL238	
CB4851_CGC	CB4851	
ECA243	CB4851	
ECA244	CB4851	
CB4853_CGC	CB4853	
ECA245	CB4853	
ECA246	CB4853	
CB4855_CGC	CB4855	
CB4855_UK	CB4855	
ECA247	CB4855	
ECA248	CB4855	
CB4857_CGC	CB4857	
CB4857_UK	CB4857	
ECA249	CB4857	
ECA250	CB4857	
ECA251	CB4858	
ECA252	CB4858	
N2_CGC	N2	
ECA253	N2	
ECA254	N2	
ECA255	N2	
ECA257	N2	
ECA258	PB306	
ECA259	PB306	
ECA260	CB4856	
ECA261	PB800	
ECA262	HK104	
ECA263	HK104	
ECA264	AF16	
ECA36	ECA36	
ED3005	ED3005	
ED3021	ED3005	
ED3011	ED3011	
ED3012	ED3012	
ED3017	ED3017	
ED3040	ED3040	
ED3046	ED3046	
ED3042	ED3048	
ED3048	ED3048	
ED3049	ED3049	
ED3052	ED3052	
ED3057	ED3073	
ED3072	ED3073	
ED3073	ED3073	
ED3077	ED3077	
EG4347	EG4347	
EG4348	EG4349	
EG4349	EG4349	
EG4724	EG4724	
EG4725	EG4725	
EG4946	EG4946	
GXW1	GXW1	
HK104_CGC	HK104	
JT11398	JT11398	
JU1088	JU1088	
JU1172	JU1172	
JU1200	JU1200	
JU1212	JU1212	
JU1213	JU1213	
JU533	JU1213	
JU1242	JU1242	
JU1246	JU1246	
JU1395	JU1395	
JU1400	JU1400	
JU1401	JU1409	
JU1409	JU1409	
JU1440	JU1440	
JU1491	JU1491	
JU1530	JU1530	
JU1568	JU1568	
JU1580	JU1580	
JU1516	JU1581	
JU1581	JU1581	
JU1586	JU1586	
JU1652	JU1652	
JU1896	JU1896	
JU2001	JU2001	
JU2007	JU2007	
JU2316	JU2316	
JU2464	JU2464	
JU2467	JU2464	
JU2468	JU2464	
JU2466	JU2466	
JU2513	JU2513	
JU2519	JU2519	
JU2522	JU2522	
JU2526	JU2526	
JU258	JU258	
JU262	JU310	
JU263	JU310	
JU300	JU310	
JU310	JU310	
JU311	JU311	
JU315	JU311	
JU319	JU311	
JU312	JU312	
JU322	JU323	
JU323	JU323	
JU345	JU346	
JU346	JU346	
JU360	JU360	
JU362	JU360	
JU363	JU360	
JU361	JU367	
JU367	JU367	
JU393	JU393	
JU394	JU394	
JU400	JU394	
JU397	JU397	
JU406	JU406	
JU440	JU440	
JU561	JU561	
JU642	JU642	
JU751	JU751	
JU774	JU774	
JU775	JU775	
JU778	JU778	
JU782	JU782	
JU395	JU792	
JU792	JU792	
JU830	JU830	
JU847	JU847	
KR314	KR314	
LKC34	LKC34	
LSJ1	LSJ1	
MY1	MY1	
MY10	MY10	
MY16	MY16	
MY18	MY18	
MY6	MY18	
MY14	MY23	
MY2	MY23	
MY23	MY23	
ECA253	N2	
ECA254	N2	
N2	N2	
N2_CGC	N2	
N2_HRH	N2	
N2_HRH	N2	
N2Baer	N2	
NIC1	NIC1	
NIC166	NIC166	
NIC195	NIC195	
NIC196	NIC195	
NIC197	NIC195	
NIC198	NIC195	
NIC199	NIC199	
NIC200	NIC199	
NIC2	NIC2	
NIC207	NIC207	
NIC231	NIC231	
NIC232	NIC231	
NIC236	NIC236	
NIC237	NIC236	
NIC242	NIC242	
NIC251	NIC251	
NIC252	NIC252	
NIC255	NIC255	
NIC256	NIC256	
NIC263	NIC256	
NIC258	NIC258	
NIC259	NIC259	
NIC260	NIC260	
NIC261	NIC261	
NIC262	NIC262	
NIC265	NIC265	
NIC266	NIC266	
NIC267	NIC267	
NIC270	NIC267	
NIC268	NIC268	
NIC269	NIC269	
NIC271	NIC271	
NIC272	NIC272	
NIC273	NIC272	
NIC274	NIC272	
NIC275	NIC275	
NIC276	NIC276	
NIC277	NIC277	
NIC3	NIC3	
NIC4	NIC3	
PB303	PB303	
PB306	PB306	
PB800_CGC	PB800	
PS2025	PS2025	
PX178	PX179	
PX179	PX179	
QG2075	QG2075	
QG536	QG536	
QG537	QG536	
QG538	QG536	
QG556	QG556	
QG558	QG556	
QG557	QG557	
QX1211	QX1211	
QX1215	QX1211	
QX1216	QX1211	
QX1212	QX1212	
QX1213	QX1212	
QX1214	QX1212	
QX1233	QX1233	
QX1791	QX1791	
QX1792	QX1792	
QX1793	QX1793	
QX1794	QX1794	
PX174	RC301	
RC301	RC301	
WN2001	WN2001	
WN2010	WN2001	
WN2011	WN2001	
WN2013	WN2001	
WN2014	WN2001	
WN2016	WN2001	
WN2017	WN2001	
WN2018	WN2001	
WN2019	WN2001	
WN2020	WN2001	
WN2021	WN2001	
WN2002	WN2002	
